taxon,lineage,pangoLEARN_version
SEARCH-0615-SAN,B.1.494,2021-02-21
SEARCH-0616-SAN,B.1,2021-02-21
SEARCH-0617-SAN,B.1.494,2021-02-21
SEARCH-0620-SAN,B.1.243,2021-02-21
SEARCH-0621-IPL,B.1.243,2021-02-21
SEARCH-0623-IPL,B.1.320,2021-02-21
SEARCH-0624-IPL,B.1.189,2021-02-21
SEARCH-0626-IPL,B.1.243,2021-02-21
SEARCH-0627-IPL,B.1.320,2021-02-21
SEARCH-0628-IPL,B.1.320,2021-02-21
SEARCH-0629-IPL,B.1.189,2021-02-21
SEARCH-0630-IPL,B.1,2021-02-21
SEARCH-0631-IPL,B.1.243,2021-02-21
SEARCH-0634-SAN,B.1,2021-02-21
SEARCH-0637-SAN,B.1,2021-02-21
SEARCH-0638-IPL,B.1.243,2021-02-21
SEARCH-0639-IPL,B.1.320,2021-02-21
SEARCH-0642-SAN,B.1.1.132,2021-02-21
SEARCH-0643-IPL,B.1.243,2021-02-21
SEARCH-0645-IPL,B.1.243,2021-02-21
SEARCH-0646-IPL,B.1.320,2021-02-21
SEARCH-0649-SAN,B.1.503,2021-02-21
SEARCH-0651-SAN,B.1.166,2021-02-21
SEARCH-0653-IPL,B.1.405,2021-02-21
SEARCH-0657-IPL,B.1.243,2021-02-21
SEARCH-0658-IPL,B.1.189,2021-02-21
SEARCH-0659-IPL,B.1.320,2021-02-21
SEARCH-0660-IPL,B.1.243,2021-02-21
SEARCH-0661-IPL,B.1,2021-02-21
SEARCH-0662-IPL,B.1.243,2021-02-21
SEARCH-0663-IPL,B.1.243,2021-02-21
SEARCH-0667-IPL,B.1.320,2021-02-21
SEARCH-0668-SAN,B.1.239,2021-02-21
SEARCH-0671-SAN,B.1.166,2021-02-21
SEARCH-0673-SAN,B.1.503,2021-02-21
SEARCH-0674-IPL,B.1,2021-02-21
SEARCH-0675-IPL,B.1.320,2021-02-21
SEARCH-0678-IPL,B.1,2021-02-21
SEARCH-0679-IPL,B.1.320,2021-02-21
SEARCH-0680-SAN,B.1.245,2021-02-21
SEARCH-0681-IPL,B.1.189,2021-02-21
SEARCH-0682-SAN,B.1.452,2021-02-21
SEARCH-0684-SAN,B.1.452,2021-02-21
SEARCH-0685-SAN,B.1,2021-02-21
SEARCH-0686-SAN,B.1,2021-02-21
SEARCH-0687-SAN,B.1,2021-02-21
SEARCH-0689-SAN,B.1.166,2021-02-21
SEARCH-0690-SAN,B.1.243,2021-02-21
SEARCH-0693-SAN,B.1,2021-02-21
SEARCH-0696-SAN,B.1,2021-02-21
SEARCH-0697-SAN,B.1.166,2021-02-21
SEARCH-0698-SAN,A.2,2021-02-21
SEARCH-0699-SAN,B.1.267,2021-02-21
SEARCH-0700-SAN,B.1.166,2021-02-21
SEARCH-0701-SAN,B.1.166,2021-02-21
SEARCH-0704-SAN,B.1.452,2021-02-21
SEARCH-0705-SAN,B.1.267,2021-02-21
SEARCH-0706-SAN,B.1.320,2021-02-21
SEARCH-0707-SAN,B.1.371,2021-02-21
SEARCH-0709-SAN,B.1.452,2021-02-21
SEARCH-0711-SAN,B.1,2021-02-21
SEARCH-0713-SAN,B.1.363,2021-02-21
SEARCH-0715-SAN,B.1.415,2021-02-21
SEARCH-0718-SAN,B.1.166,2021-02-21
SEARCH-0719-SAN,B.1,2021-02-21
SEARCH-0721-SAN,B.1.267,2021-02-21
SEARCH-0722-SAN,B.1,2021-02-21
SEARCH-0724-IPL,B.1,2021-02-21
SEARCH-0725-IPL,B.1,2021-02-21
SEARCH-0726-IPL,B.1.399,2021-02-21
SEARCH-0728-IPL,B.1.243,2021-02-21
SEARCH-0729-IPL,B.1,2021-02-21
SEARCH-0732-SAN,B.1,2021-02-21
SEARCH-0746-IPL,B.1.1.285,2021-02-21
SEARCH-0752-IPL,B.1.243,2021-02-21
SEARCH-0753-IPL,B.1,2021-02-21
SEARCH-0754-IPL,B.1.243,2021-02-21
SEARCH-0755-IPL,B.1.189,2021-02-21
SEARCH-0756-IPL,B.1.189,2021-02-21
SEARCH-0757-IPL,B.1.243,2021-02-21
SEARCH-0759-IPL,B.1.243,2021-02-21
SEARCH-0760-IPL,B.1.243,2021-02-21
SEARCH-0761-IPL,B.1,2021-02-21
SEARCH-0762-SAN,B.1.452,2021-02-21
SEARCH-0763-IPL,B.1.452,2021-02-21
SEARCH-0764-SAN,B.1.166,2021-02-21
SEARCH-0765-IPL,B.1.189,2021-02-21
SEARCH-0766-SAN,B.1.166,2021-02-21
SEARCH-0767-IPL,B.1.243,2021-02-21
SEARCH-0771-IPL,B.1.243,2021-02-21
SEARCH-0772-SAN,A.1,2021-02-21
SEARCH-0773-SAN,B.1,2021-02-21
SEARCH-0774-SAN,B.1.452,2021-02-21
SEARCH-0776-SAN,B.1,2021-02-21
SEARCH-0778-IPL,B.1.243,2021-02-21
SEARCH-0781-SAN,B.1.1.29,2021-02-21
SEARCH-0782-SAN,B.1,2021-02-21
SEARCH-0783-SAN,B.1,2021-02-21
SEARCH-0786-IPL,B.1,2021-02-21
SEARCH-0787-SAN,B.1.452,2021-02-21
SEARCH-0788-SAN,B.1,2021-02-21
SEARCH-0789-SAN,B.1.1.29,2021-02-21
SEARCH-0790-SAN,B.1.494,2021-02-21
SEARCH-0792-SAN,B.1.494,2021-02-21
SEARCH-0794-SAN,B.1,2021-02-21
SEARCH-0795-SAN,B.1.166,2021-02-21
SEARCH-0797-SAN,B.1.452,2021-02-21
SEARCH-0798-SAN,A.1,2021-02-21
SEARCH-0799-SAN,B.1.268,2021-02-21
SEARCH-0800-SAN,B.1.245,2021-02-21
SEARCH-0801-SAN,B.1,2021-02-21
SEARCH-0802-IPL,B.1.320,2021-02-21
SEARCH-0803-SAN,B.1,2021-02-21
SEARCH-0805-SAN,B.1.452,2021-02-21
SEARCH-0806-SAN,B.1.452,2021-02-21
SEARCH-0809-SAN,B.1,2021-02-21
SEARCH-0810-SAN,B.1.452,2021-02-21
SEARCH-0812-SAN,B.1,2021-02-21
SEARCH-0813-SAN,B.1.98,2021-02-21
SEARCH-0815-SAN,B.1.166,2021-02-21
SEARCH-0816-SAN,B.1.452,2021-02-21
