taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
SEARCH-0053-JOR,B.35,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0054-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0055-JOR,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0056-JOR,B.28,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0057-JOR,B.28,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0058-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0059-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0060-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0063-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0064-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0065-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0066-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0067-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0068-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0069-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0070-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0071-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0072-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0075-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0076-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0077-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0078-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0084-JOR,B.40,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0094-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0095-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0096-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0097-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0098-SAN,B.1.314,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0099-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0100-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0103-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0104-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0106-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0107-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0108-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0111-SAN,B.1.586,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0113-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0115-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0117-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0118-SAN,B.4,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0119-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0120-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0121-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0122-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0128-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0130-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0132-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0135-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0136-SAN,B.1.314,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0140-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0141-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0143-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0144-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0145-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0146-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0147-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0148-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0149-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0150-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0151-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0152-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0153-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0154-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0155-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0156-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0157-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0158-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0159-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0160-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0161-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0162-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0163-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0164-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0166-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0167-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0169-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0170-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0171-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0174-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0175-SAN,B.1.320,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0176-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0177-SAN,B.1.110,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0178-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0179-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0180-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0181-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0182-SAN,B.1.320,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0184-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0185-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0187-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0188-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0189-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0190-SAN,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0191-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0192-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0193-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0195-SAN,B,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0197-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0198-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0199-SAN,B.4,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0201-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0204-SAN,B.6,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0205-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0206-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0207-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0209-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0210-NBG,B.1.450,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0212-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0213-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0214-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0215-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0217-SAN,B.1.243,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0218-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0219-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0222-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0223-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0224-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0225-SAN,B.1.558,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0228-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0230-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0232-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0233-SAN,B.1.400,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0234-SAN,B.1.320,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0235-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0236-SAN,B.1.243,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0237-SAN,B.1.245,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0240-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0244-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0245-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0247-SAN,A.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0248-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0249-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0250-SAN,B.1.314,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0252-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0253-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0255-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0256-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0257-SAN,B.1.166,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0258-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0259-SAN,B.1.332,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0260-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0261-SAN,B.1.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0262-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0263-SAN,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0264-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0265-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0266-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0267-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0268-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0269-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0270-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0271-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0272-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0273-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0274-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0275-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0276-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0277-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0278-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0279-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0280-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0281-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0282-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0283-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0284-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0285-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0286-NBG,B.1,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0287-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0288-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
SEARCH-0289-NBG,B.1.595,,,,,,PANGO-v1.2.6,3.0.5,2021-05-27,v1.2.6,passed_qc,Assigned from designation hash.
